card_name,card_id,full_text_name,card_text
Eru Ayase-Pessoa,eru_ayase_pessoa,Eru Ayase-Pessoa,"Once per turn -> click, take 1 tag: Run Archives. If successful, instead of breaching Archives, breach R&D. Threat 3 -> Whenever you breach R&D during a run on Archives, access 1 additional card. (This ability is active if any player has 3 or more agenda points.)"
Federal Fundraising,federal_fundraising,Federal Fundraising,"When your turn begins, you may look at the top 3 cards of R&D and arrange them in any order. Then, if this server is not protected by ice, you may draw 1 card."
Front Company,front_company,Front Company,"Rez only during your turn. The first run each turn cannot be made against a remote server. The first time each turn a run on Archives begins, if this server is not protected by ice, do 2 net damage."
Fujii Asset Retrieval,fujii_asset_retrieval,Fujii Asset Retrieval,"When this agenda is scored or stolen, do 2 net damage."
Greasing the Palm,greasing_the_palm,Greasing the Palm,Gain 5 credits. You may install 1 card from HQ. You may remove 1 tag to place 1 advancement counter on that card.
"Hannah ""Wheels"" Pilintra",hannah_wheels_pilintra,"Hannah ""Wheels"" Pilintra","Once per turn -> click: Gain click. Run a remote server. When that run ends, if it was unsuccessful, take 1 tag. click, trash: Gain click click. Remove 1 tag."
Hermes,hermes,Hermes,"+1 mu Whenever an agenda is scored or stolen, add 1 unrezzed card to HQ. Limit 1 console per player."
Jaguarundi,jaguarundi,Jaguarundi,"Threat 4 -> When the Runner encounters this ice, give them 1 tag unless they spend click. (This ability is active if any player has 4 or more agenda points.) Subroutine Give the Runner 1 tag. Subroutine If the Runner is tagged, do 1 core damage."
Joy Ride,joy_ride,Joy Ride,"Run R&D. If successful, draw 5 cards."
Lago Paranoá Shelter,lago_paranoa_shelter,Lago Paranoa Shelter,"The first time each turn the Corp installs a card in the root of a server, you may trash the top card of your stack to draw 1 card."
Laser Pointer,laser_pointer,Laser Pointer,"Whenever you encounter a piece of AP, destroyer, or observer ice, you may trash this program to bypass that ice."
LilyPAD,lilypad,LilyPAD,"+2 mu The first time each turn you install a program, you may draw 1 card. Limit 1 console per player."
Living Mural,living_mural,Living Mural,"Install only on a piece of ice. Threat 4 -> When you install this program, it gets +3 strength for the remainder of the turn. (This ability is active if any player has 4 or more agenda points.) Interface -> 1 credit: Break 1 subroutine on a sentry protecting this server. 1 credit: +2 strength."
M.I.C.,m_i_c,M.I.C.,trash: End the run unless the Runner spends click. Use this ability only during a run on this server. Subroutine The Runner loses click. Subroutine The Runner loses click. Subroutine End the run.
Mercury: Chrome Libertador,mercury_chrome_libertador,Mercury: Chrome Libertador,"Once per turn -> When you breach HQ or R&D during a run, if you did not break any subroutines during that run, you may access 1 additional card."
Mindscaping,mindscaping,Mindscaping,"Resolve 1 of the following: * Gain 4 credits and draw 2 cards. Add 1 card from HQ to the top of R&D. * Do X net damage. X is equal to the number of tags the Runner has, up to 3."
Monkeywrench,monkeywrench,Monkeywrench,Install only on a piece of ice. Host ice gets -2 strength. Each other piece of ice protecting this server gets -1 strength.
Oppo Research,oppo_research,Oppo Research,"Play only if the Runner stole or trashed a Corp card during their last turn. After you resolve this operation, your action phase ends. Give the Runner 2 tags. Threat 3 -> You may pay 5 credits to give the Runner 2 tags. (This ability is active if any player has 3 or more agenda points.)"
Oracle Thinktank,oracle_thinktank,Oracle Thinktank,"When the Runner steals this agenda, give them 1 tag. click, remove 1 tag: Shuffle this agenda into R&D. The Corp can use this ability only if this agenda is in the Runner's score area."
Phoneutria,phoneutria,Phoneutria,"When the Runner passes this ice, if there are 4 or more cards in the grip, give them 1 tag. Subroutine Do 1 net damage. Subroutine Do 1 net damage."
Pichação,pichacao,Pichacao,"Install only on a piece of ice. Whenever you pass host ice, you may gain click. If this is not the first time you gained click during a run this turn, add this program to your grip."
Pivot,pivot,Pivot,"As an additional cost to play this operation, spend click. Search R&D for 1 operation or agenda and reveal it. (Shuffle R&D after searching it.) Add that card to HQ. Threat 3 -> You may play or install 1 card from HQ. (This ability is active if any player has 3 or more agenda points.)"
S-Dobrado,s_dobrado,S-Dobrado,"Run a central server. The first time you encounter a piece of ice during that run, bypass it. Threat 4 -> The second time you encounter a piece of ice during that run, you may spend click to bypass it. (This ability is active if any player has 4 or more agenda points.)"
Saci,saci,Saci,"Install only on a piece of ice. Whenever host ice is rezzed or derezzed, gain 3 credits."
Salvo Testing,salvo_testing,Salvo Testing,"Whenever you score an agenda (including this one), you may do 1 core damage."
Shibboleth,shibboleth,Shibboleth,Threat 4 -> This program gets -2 strength. (This ability is active if any player has 4 or more agenda points.) Interface -> 1 credit: Break 1 code gate subroutine. 2 credits: +2 strength.
Slap Vandal,slap_vandal,Slap Vandal,Install only on a piece of ice. Interface -> 1 credit: Break 1 subroutine on host ice. Use this ability only once per encounter.
Slash and Burn Agriculture,slash_and_burn_agriculture,Slash and Burn Agriculture,"click, 1 credit, reveal and trash this agenda from HQ: Place 2 advancement counters on 1 installed card that you can advance."
Solidarity Badge,solidarity_badge,Solidarity Badge,"The first time each turn you trash a Corp card, place 1 power counter on this hardware. When your turn begins, you may remove 1 hosted power counter to draw 1 card or remove 1 tag."
Starlit Knight,starlit_knight,Starlit Knight,"Threat 4 -> When the Runner encounters this ice, it gains X ""Subroutine End the run."" subroutines for the remainder of this run, after its other subroutines. X is equal to the number of tags the Runner has. Subroutine Give the Runner 1 tag. Subroutine Give the Runner 1 tag."
Stegodon MK IV,stegodon_mk_iv,Stegodon MK IV,"Each run, as long as a piece of ice has been derezzed during that run, each installed icebreaker gets -2 strength. Once per turn -> When a run begins, you may derez 1 piece of ice not protecting the attacked server to gain 1[credit]."
Strike Fund,strike_fund,Strike Fund,"Gain 4 credits. When this event is trashed from your grip or stack, you may gain 2 credits."
Tatu-Bola,tatu_bola,Tatu-Bola,"When the Runner passes this ice, you may swap it with a piece of ice from HQ. If you do, gain 4 credits. (The new ice is installed unrezzed. You do not pay an install cost.) Subroutine End the run."
The Price,the_price,The Price,"Trash the top 4 cards of your stack. You may install 1 of those cards, paying 3 credits less."
Tree Line,tree_line,Tree Line,"click, 1 credit, reveal and trash this ice from HQ: Place 3 advancement counters on 1 installed piece of ice. You can advance this ice. It gets +1 strength for each hosted advancement counter. Subroutine Gain 1 credit. End the run."
Tucana,tucana,Tucana,"Remote server only. Persistent -> Whenever an agenda is scored or stolen from the root of this server, you may search R&D for 1 piece of ice. (Shuffle R&D after searching it.) Install and rez that ice, paying a total of 3 credits less."
Umbrella,umbrella,Umbrella,"This program can only interface with ice hosting a trojan program. Interface -> 2 credits: Break up to 3 code gate subroutines. If at least 1 subroutine was broken this way, each player may draw 1 card."
Urban Art Vernissage,urban_art_vernissage,Urban Art Vernissage,"When your turn begins, you may add 1 installed non-virus trojan program to your grip. If you do, place 2 credits on this resource. You can spend hosted credits to install cards."
Valentão,valentao,Valentao,"As an additional cost to rez this ice, take 1 bad publicity or remove 1 tag. Subroutine Gain 2 credits. Subroutine The Runner loses 2 credits. Subroutine End the run if you have more credits than the Runner."
Virtual Service Agent,virtual_service_agent,Virtual Service Agent,"Whenever the Runner passes this ice after encountering it, if they did not break its printed subroutine with a decoder during that encounter, give them 1 tag. Subroutine The Runner loses 1 credit."
Vovô Ozetti,vovo_ozetti,Vovo Ozetti,"The rez cost of each piece of ice protecting this server is lowered by 2 credits. Threat 4 -> The rez cost of each card in the root of this server is lowered by 2 credits. (This ability is active if any player has 4 or more agenda points.) When your turn ends, you may move this upgrade to the root of another server."
Wage Workers,wage_workers,Wage Workers,"Whenever you finish taking an action, if you have taken that action exactly 3 times this turn, gain click."
Your Digital Life,your_digital_life,Your Digital Life,Gain 1 credit for each card in HQ.
