"Name","ID","Type","Side","Coverage","Notes"
"Tatu-Bola","tatu_bola","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"The Price","the_price","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Tree Line","tree_line","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Tucana","tucana","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Umbrella","umbrella","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Urban Art Vernissage","urban_art_vernissage","resource","runner","Installable","Runner install AI handles selection"
"Valentão","valentao","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Virtual Service Agent","virtual_service_agent","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Vovô Ozetti","vovo_ozetti","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Wage Workers","wage_workers","asset","corp","Installable","SCG installs; no modeled click ability"
"Your Digital Life","your_digital_life","operation","corp","Explicit","Specific projection in project_corp_action match block"
