"Name","ID","Type","Side","Coverage","Notes"
"Kakurenbo","kakurenbo","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Keiko","keiko","hardware","runner","Installable","Runner install AI handles selection"
"Konjin","konjin","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"La Costa Grid","la_costa_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Makler","makler","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Mantle","mantle","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Megaprix Qualifier","megaprix_qualifier","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Moshing","moshing","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"Mu Safecracker","mu_safecracker","hardware","runner","Installable","Runner install AI handles selection"
"Mystic Maemi","mystic_maemi","resource","runner","Installable","Runner install AI handles selection"
"NAPD Cordon","napd_cordon","operation","corp","Explicit","Specific projection in project_corp_action match block"
"NEXT Activation Command","next_activation_command","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Odore","odore","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Paladin Poemu","paladin_poemu","resource","runner","Installable","Runner install AI handles selection"
"Pauleʼs Café","paules_cafe","resource","runner","Installable","Runner install AI handles selection"
"Penrose","penrose","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Penumbral Toolkit","penumbral_toolkit","resource","runner","Installable","Runner install AI handles selection"
"Prāna Condenser","prana_condenser","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Prognostic Q-Loop","prognostic_q_loop","hardware","runner","Installable","Runner install AI handles selection"
"Project Vacheron","project_vacheron","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Scapenet","scapenet","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Self-modifying Code","self_modifying_code","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Simulchip","simulchip","hardware","runner","Installable","Runner install AI handles selection"
"Swift","swift","hardware","runner","Installable","Runner install AI handles selection"
"SYNC Rerouting","sync_rerouting","operation","corp","Explicit","Specific projection in project_corp_action match block"
"The Back","the_back","resource","runner","Installable","Runner install AI handles selection"
"Tranquility Home Grid","tranquility_home_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Transport Monopoly","transport_monopoly","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Týr","tyr","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Vaporframe Fabricator","vaporframe_fabricator","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Wall to Wall","wall_to_wall","asset","corp","Installable","SCG installs; no modeled click ability"
"Winchester","winchester","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
