"Name","ID","Type","Side","Coverage","Notes"
"René “Loup” Arcemont: Party Animal","rene_loup_arcemont_party_animal","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Retribution","retribution","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Seamless Launch","seamless_launch","operation","corp","Auto (full)","Complete projection auto-derived from abilities.json via get_corp_ai_projection()"
"Send a Message","send_a_message","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Smartware Distributor","smartware_distributor","resource","runner","Installable","Runner install AI handles selection"
"Spin Doctor","spin_doctor","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Sprint","sprint","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Superconducting Hub","superconducting_hub","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Sure Gamble","sure_gamble","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"T400 Memory Diamond","t400_memory_diamond","hardware","runner","Installable","Runner install AI handles selection"
"Tāo Salonga: Telepresence Magician","tao_salonga_telepresence_magician","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Telework Contract","telework_contract","resource","runner","Installable","Runner install AI handles selection"
"The Catalyst: Convention Breaker","the_catalyst_convention_breaker","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"The Syndicate: Profit over Principle","the_syndicate_profit_over_principle","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Tithe","tithe","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Tomorrowʼs Headline","tomorrows_headline","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Tranquilizer","tranquilizer","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Tread Lightly","tread_lightly","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Unity","unity","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Urtica Cipher","urtica_cipher","asset","corp","Installable","SCG installs; no modeled click ability"
"Verbal Plasticity","verbal_plasticity","resource","runner","Installable","Runner install AI handles selection"
"VRcation","vrcation","event","runner","Auto (partial)","Partial auto-projection; unmodelable effects not captured"
"Weyland Consortium: Built to Last","weyland_consortium_built_to_last","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Whitespace","whitespace","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Wildcat Strike","wildcat_strike","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Zahya Sadeghi: Versatile Smuggler","zahya_sadeghi_versatile_smuggler","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
