"Name","ID","Type","Side","Coverage","Notes"
"Greenmail","greenmail","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Hantu","hantu","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Humanoid Resources","humanoid_resources","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Idiosyncresis","idiosyncresis","asset","corp","Installable","SCG installs; no modeled click ability"
"Illumination","illumination","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"IP Enforcement","ip_enforcement","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Kessleroid","kessleroid","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Key Performance Indicators","key_performance_indicators","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"“Knickknack” O’Brian","knickknack_obrian","resource","runner","Installable","Runner install AI handles selection"
"Lamplighter","lamplighter","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"LEO Construction: Labor Solutions","leo_construction_labor_solutions","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Lie Low","lie_low","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Madani","madani","hardware","runner","Installable","Runner install AI handles selection"
"Magdalene Keino-Chemutai: Cryptarchitect","magdalene_keino_chemutai_cryptarchitect","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Maglectric Rapid (748 Mod)","maglectric_rapid_748_mod","hardware","runner","Installable","Runner install AI handles selection"
"Mahkota Langit Grid","mahkota_langit_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Maintenance Access","maintenance_access","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Measured Response","measured_response","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Mercia B4LL4RD","mercia_b4ll4rd","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Mitra Aman","mitra_aman","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"MuslihaT: Multifarious Marketeer","muslihat_multifarious_marketeer","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Mycoweb","mycoweb","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"N-Pot","n_pot","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Nanomanagement","nanomanagement","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Nebula Talent Management: Making Stars","nebula_talent_management_making_stars","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Next Big Thing","next_big_thing","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Off the Books","off_the_books","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Open Market","open_market","resource","runner","Installable","Runner install AI handles selection"
"Otto Campaign","otto_campaign","asset","corp","Installable","SCG installs; no modeled click ability"
"Peer Review","peer_review","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Petty Cash","petty_cash","operation","corp","Archives Op","Handled by play_from_archives branch (e.g. Petty Cash)"
"Phật Gioan Baotixita","phat_gioan_baotixita","asset","corp","Installable","SCG installs; no modeled click ability"
"Plutus","plutus","asset","corp","Installable","SCG installs; no modeled click ability"
"Poétrï Luxury Brands: All the Rage","poetri_luxury_brands_all_the_rage","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Principia","principia","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Project Ingatan","project_ingatan","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Proprionegation","proprionegation","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"PT Untaian: Life's Building Blocks","pt_untaian_lifes_building_blocks","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Public Access Plaza","public_access_plaza","asset","corp","Installable","SCG installs; no modeled click ability"
"Rent Rioters","rent_rioters","resource","runner","Installable","Runner install AI handles selection"
"Rising Tide","rising_tide","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Ritual","ritual","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Ryō “Phoenix” Ōno: Out of the Ashes","ryo_phoenix_ono_out_of_the_ashes","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Sang Kancil","sang_kancil","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Scatter Field","scatter_field","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Scrounge","scrounge","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Semak-samun","semak_samun","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Sericulture Expansion","sericulture_expansion","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Shred","shred","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Side Hustle","side_hustle","resource","runner","Installable","Runner install AI handles selection"
"Syailendra","syailendra","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Synapse Global: Faster than Thought","synapse_global_faster_than_thought","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"The Zwicky Group: Invisible Hands","the_zwicky_group_invisible_hands","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Top-Down Solutions","top_down_solutions","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Topan: Ormas Leader","topan_ormas_leader","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Touch-ups","touch_ups","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Transfer of Wealth","transfer_of_wealth","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
